epoch,step,trainArgmaxJI_epoch,trainArgmaxJI_step,train_loss_epoch,train_loss_step,valArgmaxJI_epoch,valArgmaxJI_step,val_loss_epoch,val_loss_step
,0,,,,,,0.25483259558677673,,0.6229268312454224
,1,,,,,,0.26192983984947205,,0.5752613544464111
,2,,,,,,0.2534211575984955,,0.624976396560669
,3,,,,,,0.2595609128475189,,0.5907503366470337
,4,,,,,,0.2565622329711914,,0.6270349025726318
0,24,,,,,0.25726133584976196,,0.6081899404525757,
0,24,0.2596224546432495,,0.7564753890037537,,,,,
1,49,,0.2600116729736328,,0.5519561171531677,,,,
,5,,,,,,0.25483259558677673,,0.5628527402877808
,6,,,,,,0.26192983984947205,,0.5105019807815552
,7,,,,,,0.2534211575984955,,0.5599356889724731
,8,,,,,,0.2595609128475189,,0.5266906023025513
,9,,,,,,0.2565622329711914,,0.578528642654419
1,49,,,,,0.25726133584976196,,0.5477019548416138,
1,49,0.25960758328437805,,0.5713839530944824,,,,,
,10,,,,,,0.28080806136131287,,0.49912941455841064
,11,,,,,,0.2901908755302429,,0.45405420660972595
,12,,,,,,0.2781836688518524,,0.49726220965385437
,13,,,,,,0.2841860353946686,,0.46988117694854736
,14,,,,,,0.27855223417282104,,0.5238884687423706
2,74,,,,,0.2824188768863678,,0.4888431131839752,
2,74,0.2604581415653229,,0.5073147416114807,,,,,
3,99,,0.43570607900619507,,0.4248088002204895,,,,
,15,,,,,,0.4245845079421997,,0.45275962352752686
,16,,,,,,0.42826929688453674,,0.4062274098396301
,17,,,,,,0.42021530866622925,,0.4472334384918213
,18,,,,,,0.42245352268218994,,0.4228493571281433
,19,,,,,,0.405811071395874,,0.4946160316467285
3,99,,,,,0.420340359210968,,0.44473719596862793,
3,99,0.38260340690612793,,0.45201560854911804,,,,,
,20,,,,,,0.4333641529083252,,0.4418141841888428
,21,,,,,,0.43775904178619385,,0.3957996666431427
,22,,,,,,0.43046683073043823,,0.4374160170555115
,23,,,,,,0.43302983045578003,,0.4113239645957947
,24,,,,,,0.41416412591934204,,0.4847958981990814
4,124,,,,,0.42984539270401,,0.43422994017601013,
4,124,0.4273109436035156,,0.42845267057418823,,,,,
5,149,,0.4368358850479126,,0.40924182534217834,,,,
,25,,,,,,0.4407983422279358,,0.4263644814491272
,26,,,,,,0.4446170926094055,,0.3824020326137543
,27,,,,,,0.4373472332954407,,0.4234325885772705
,28,,,,,,0.4436909556388855,,0.39220619201660156
,29,,,,,,0.4209868907928467,,0.46823596954345703
5,149,,,,,0.4376096725463867,,0.4185282588005066,
5,149,0.435506671667099,,0.41642439365386963,,,,,
,30,,,,,,0.45533573627471924,,0.4039963483810425
,31,,,,,,0.4572487473487854,,0.3640637993812561
,32,,,,,,0.45156627893447876,,0.4059959948062897
,33,,,,,,0.4611188769340515,,0.3709750473499298
,34,,,,,,0.43446218967437744,,0.4479099214076996
6,174,,,,,0.4521080255508423,,0.39858824014663696,
6,174,0.4439522624015808,,0.4026578962802887,,,,,
7,199,,0.45115047693252563,,0.378344863653183,,,,
,35,,,,,,0.456621915102005,,0.3949289321899414
,36,,,,,,0.4587416648864746,,0.3590282201766968
,37,,,,,,0.45446449518203735,,0.3977128565311432
,38,,,,,,0.46614503860473633,,0.3615195155143738
,39,,,,,,0.43604159355163574,,0.4396434426307678
7,199,,,,,0.4546244144439697,,0.3905665874481201,
7,199,0.45301318168640137,,0.38761401176452637,,,,,
,40,,,,,,0.46952319145202637,,0.3905738890171051
,41,,,,,,0.46820467710494995,,0.35815882682800293
,42,,,,,,0.4636427164077759,,0.4012336730957031
,43,,,,,,0.4703539311885834,,0.3701937794685364
,44,,,,,,0.445966511964798,,0.4375991225242615
8,224,,,,,0.46379315853118896,,0.3915518820285797,
8,224,0.4565970301628113,,0.38063475489616394,,,,,
9,249,,0.4656427502632141,,0.40554213523864746,,,,
,45,,,,,,0.46428847312927246,,0.38970261812210083
,46,,,,,,0.46458786725997925,,0.35427385568618774
,47,,,,,,0.4633215069770813,,0.39281538128852844
,48,,,,,,0.4693775177001953,,0.3608381748199463
,49,,,,,,0.44315195083618164,,0.43890997767448425
9,249,,,,,0.46118074655532837,,0.3873080015182495,
9,249,0.4721575677394867,,0.3795807957649231,,,,,
,50,,,,,,0.47401976585388184,,0.3776252865791321
,51,,,,,,0.4717443287372589,,0.344811350107193
,52,,,,,,0.46990370750427246,,0.3851422965526581
,53,,,,,,0.4769473671913147,,0.3498497009277344
,54,,,,,,0.4498417377471924,,0.4261872470378876
10,274,,,,,0.46887174248695374,,0.37672320008277893,
10,274,0.46248745918273926,,0.3724079132080078,,,,,
11,299,,0.49565985798835754,,0.35820016264915466,,,,
,55,,,,,,0.5034278631210327,,0.3539116382598877
,56,,,,,,0.49516481161117554,,0.3360137343406677
,57,,,,,,0.5009827017784119,,0.36921942234039307
,58,,,,,,0.5035391449928284,,0.33945703506469727
,59,,,,,,0.47599688172340393,,0.40210679173469543
11,299,,,,,0.4963701367378235,,0.36014169454574585,
